Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-59.09993771114074,180,-48.03288181371251,180
3.418378955474657,-59.43159304013684,0.2613338686473936,-48.32194001872205,0.00441107369742605
6.836757910949314,-63.04405118583723,0.4025933028317296,-51.78249282543621,179.9480393210894
10.25513686642397,-74.26454253951432,177.7845167966634,-62.07171851679299,179.4090909020886
13.67351582189863,-92.58056170762636,64.51207773620146,-81.97081355393641,172.926232971637
17.09189477737328,-88.25931249953165,59.77027655339546,-92.74327947541917,0.7689500066969674
20.51027373284794,-86.98836468485347,77.70691677096217,-94.10010211290535,65.58517462874805
23.9286526883226,-88.29128774196835,90.91692377132853,-88.49275260880248,105.8442065902325
27.34703164379725,-92.81477510834503,99.34634546491166,-86.4059823609569,115.3523684731787
30.76541059927191,-98.02619156450588,64.54450079263543,-86.92955586115102,117.8383025508655
34.18378955474657,-97.34091746950618,11.1757775046767,-89.22486038694316,116.738837495599
37.60216851022123,-96.20449628048075,156.0228756823967,-95.77856067917187,120.2215137681788
41.02054746569588,-97.15675110569308,168.134226518635,-111.7503008339622,101.1633776061061
44.43892642117054,-99.84199565646486,53.32909107704577,-107.5205650757926,38.75201839845457
47.85730537664519,-97.24221680669218,103.9672256169679,-100.6303182995389,85.81610654722765
51.27568433211985,-95.23233578667447,107.7518335068566,-96.95088608413161,113.8538981803134
54.69406328759451,-94.77792401183933,96.1649806366451,-93.01904126029046,137.7829583132138
58.11244224306917,-97.16244373530485,82.30441420950413,-89.01726019556213,142.7756605441957
61.53082119854383,-111.9232006512374,77.29593671632531,-88.02147576660262,146.3351879958302
64.94920015401848,-101.0893348822069,79.24736681707321,-90.31995580524682,143.1820163904409
68.36757910949314,-95.29200875472618,55.6992480744376,-95.32297459673087,107.9534764878114
71.7859580649678,-89.73464418286653,37.67209968622839,-94.68304872528394,34.64737651114556
75.20433702044245,-87.48194802797116,36.46508209277018,-89.56478161180029,179.3436228876865
78.6227159759171,-87.37979458188263,37.36948155398884,-87.74829026217537,167.4814106010561
82.04109493139177,-88.48675770634225,31.80116355717382,-89.03558251850647,158.5324628898955
85.45947388686642,-90.95269417696528,13.30581657971138,-91.7247588591438,151.6310523966733
88.87785284234108,-91.90972889191521,175.8386735242328,-92.49941954751785,143.2245831928809
92.29623179781574,-91.65539813151787,179.8077885362996,-89.39540827116463,136.887682269553
95.71461075329039,-93.4814714911478,17.88373583129658,-86.75330294375884,131.0810988357534
99.13298970876505,-93.8933126426343,61.34908736500171,-83.7925573593145,126.8125004866873
102.5513686642397,-91.0081804066518,82.57902495462106,-81.71987943134219,128.8170233225096
105.9697476197144,-92.23280597441186,101.0256094074915,-82.28137615546484,123.1896846608207
109.388126575189,-97.89753436204875,129.6686443215081,-83.69851623069914,106.843687735314
112.8065055306637,-109.7911253813764,79.38704553859353,-84.83140194709463,91.68863922791415
116.2248844861383,-98.86964015236597,110.8799723242319,-87.57139389733183,69.74492013572026
119.643263441613,-95.60532084915945,98.55639477442121,-90.44173678584421,43.45559108717731
123.0616423970877,-91.84413663083083,97.42822422532667,-92.37173744548016,60.55331823263521
126.4800213525623,-90.49658842961911,102.9515809761083,-91.63188534984118,112.4627731792419
129.898400308037,-92.33333987560701,102.8848406628928,-87.87085943833927,134.5027983313639
133.3167792635116,-94.42783152544756,124.9698145103492,-85.35009173620189,128.8570384649943
136.7351582189863,-91.51443118301739,162.6487415586876,-86.22097082393118,128.7013222767945
140.1535371744609,-89.58776227835105,2.023651574797056,-90.91218663386441,130.1887918922265
143.5719161299356,-88.48869396306846,11.77134374857321,-98.53487637015223,106.2614176300222
146.9902950854103,-88.67082862814391,11.3738505467404,-99.26656905333738,11.50808077854662
150.4086740408849,-91.62606504906036,10.1473106257976,-90.75023623744158,7.525017220953153
153.8270529963596,-95.67388217283067,1.38153900676779,-86.3473020630517,23.45728879027574
157.2454319518342,-97.04743392042565,142.8584223491345,-84.86595094903919,28.23306979324909
160.6638109073089,-92.78555219763666,121.6679317686833,-84.71455651088503,20.17667918288886
164.0821898627835,-88.31245107497668,129.8221057770297,-86.73300200877662,12.80755860728687
167.5005688182582,-86.9077774273803,137.5934618170629,-97.76382229056131,156.1201832984324
170.9189477737328,-88.10949611433509,148.5294611254479,-89.7652880296105,59.61093862121411
174.3373267292075,-89.72930421332826,157.9911273373793,-86.89227505164163,50.12142316645485
177.7557056846822,-95.28035572407843,159.1889362521914,-89.00351479960568,45.02717742839933
181.1740846401568,-106.9910167359888,109.7351602992675,-93.78843452061508,95.84921114478141
184.5924635956315,-98.81430946337942,147.9325506515291,-88.86871109176731,153.3661679981767
188.0108425511061,-98.22532972076097,178.7795187162439,-85.34886648357194,165.5078068202434
191.4292215065808,-98.37727785558457,171.6695375473546,-84.85871664182253,163.105617834267
194.8476004620555,-100.4592859882472,26.18593173932957,-88.68593320116887,163.124598683386
198.2659794175301,-94.94409316317615,63.85066541162075,-97.45002636079619,24.10351734074741
201.6843583730048,-95.748224071614,61.87784023148838,-93.13141014932818,102.702943112604
205.1027373284794,-97.87860803259115,56.53371648236513,-90.15002108502375,110.3080424762892
208.5211162839541,-99.93486596740189,41.56717915731909,-93.47500469713709,100.7536576859829
211.9394952394287,-100.3456215679135,160.9486890751349,-99.63426495304066,79.23200966232865
215.3578741949034,-96.42068715061198,152.9797486836067,-96.30789033359262,82.75314103451075
218.776253150378,-95.20634595981697,166.9745612743231,-92.49264938736367,91.74633211231078
222.1946321058527,-93.02576115323666,166.077833849978,-90.43791811553126,98.01535989883723
225.6130110613273,-91.4410207630312,149.6917914845903,-89.03118474501002,92.07590683578248
229.031390016802,-90.81699613892926,123.8886855468957,-91.65671502988201,73.87156948008841
232.4497689722767,-88.4161521583344,110.7187259390991,-100.6308869389037,32.17421076665541
235.8681479277513,-87.01504212185344,109.2219389378148,-104.1111337616014,33.29353870961061
239.286526883226,-87.58996535534732,109.3674318073878,-92.45102967959086,15.9406060047789
242.7049058387006,-87.67033098633686,119.6933189018434,-89.02074682894842,23.801792032581
246.1232847941753,-86.77814539916277,131.6646725672898,-88.30252508115571,28.68925372615892
249.54166374965,-86.74230395818586,137.111414888015,-88.85960046295175,40.48951146668718
252.9600427051246,-86.87897349548419,145.5699990039736,-87.65160376733235,68.61758775323166
256.3784216605993,-87.1000135782698,162.1573517584092,-86.27627878240155,77.35792771041838
259.7968006160739,-88.55609610266973,3.707020306937709,-86.52716278088715,69.02697692472313
263.2151795715486,-90.60786326583995,33.45447611538624,-85.64768129797982,62.4443468901128
266.6335585270232,-90.63802856197503,65.66057423073826,-85.69348120263639,65.01325682958594
270.0519374824979,-90.39849449357806,89.59433550493652,-87.71888729280769,71.26986823662554
273.4703164379725,-91.47027294756585,110.3045755704514,-88.94335018494247,82.16527456837929
276.8886953934472,-91.80178545345518,133.7159656712907,-88.93780693670001,103.1300392723622
280.3070743489218,-90.01134618189337,163.4204944070918,-86.89061232632569,133.4211776848138
283.7254533043965,-88.41524264324414,1.803823611341833,-84.36926465558395,144.4015793587634
287.1438322598712,-88.79191260776477,178.2596502676532,-83.81666458465958,141.1136495597605
290.5622112153458,-90.97252849066136,165.7646057027585,-83.61784768485091,141.1650403943512
293.9805901708205,-98.39255736730232,135.9503052959844,-84.51223823849796,144.7550558763335
297.3989691262951,-97.58392830378726,48.25879172514504,-89.41736898899167,129.6127840734119
300.8173480817698,-96.39061632852957,28.13031301930105,-92.52780294079494,55.93239059654866
304.2357270372445,-99.29382293794606,44.40730884799257,-90.5172103791741,24.86021651912256
307.6541059927191,-96.34994303511905,95.72071645352304,-91.62866969780683,11.72562771012076
311.0724849481938,-92.49486131786357,103.7089379099097,-93.64830608810409,166.0521872351522
314.4908639036684,-90.50468506975683,104.688417055716,-94.73254114314757,68.95419529651328
317.9092428591431,-90.99892975250253,112.9989805048362,-87.42727347492215,30.6662830120752
321.3276218146178,-94.83686154228002,129.3736036112159,-87.62923732511952,20.09799941005078
324.7460007700924,-97.24018652378363,170.8768984385311,-90.11013416281216,2.437078918177613
328.1643797255671,-95.6557112097625,16.29776574134851,-93.76535136357558,136.6000282053618
331.5827586810417,-96.2713341802642,37.78508281116046,-91.31973153206262,55.13351911701483
335.0011376365164,-96.45727173550939,82.05741820195244,-86.71759532476102,24.4017577039717
338.4195165919911,-89.786549132825,115.014825330887,-82.41588509259176,28.42263258818844
341.8378955474657,-84.81540404951936,123.4558326472487,-79.29289907709875,41.12608660181212
345.2562745029404,-83.34932257162684,129.0212572995941,-78.61347886535063,53.22688873809799
348.674653458415,-84.01827356487793,131.8888550299762,-78.11947465399497,67.71547391106635
352.0930324138897,-87.12739438296849,135.0759461805863,-78.08712437716069,79.32509548666496
355.5114113693643,-95.4828111801897,149.665801522519,-80.43951629771053,88.14724364010699
358.929790324839,-112.60494220249,74.66075587928253,-84.63780617390951,94.08202959774012
362.3481692803136,-105.7411312443382,173.5614243451258,-91.42674625520098,94.1819251772904
365.7665482357883,-103.2052606982352,23.48703534421294,-103.7915046260792,148.2662945525929
369.1849271912629,-98.37369179381648,66.36809695569625,-91.96900606168992,118.868997148011
372.6033061467376,-93.83228705308323,90.01307560420977,-93.0605817079779,123.3334725576264
376.0216851022122,-92.34608895324538,94.07866563908789,-98.59349152471432,147.0039963436312
379.4400640576869,-90.45926955942376,91.50419966959896,-104.4041003340971,167.094008339769
382.8584430131615,-89.28352090707546,88.42700297975715,-109.922491458118,67.49937786629012
386.2768219686362,-90.27693155543183,78.68703187997329,-95.74186857193125,81.21357675518161
389.6952009241109,-92.82616753241408,71.55173670373917,-90.95252405465091,97.01145907318833
393.1135798795855,-99.08959831007598,78.07315080847167,-90.44023542619851,109.708841470662
396.5319588350602,-102.0876241585971,179.8082397930836,-91.23852099522288,112.9171688831954
399.9503377905348,-91.57262110041984,6.931896815468209,-95.30812633145382,93.52765534225523
403.3687167460095,-88.00798430256708,2.649005476130405,-94.22893523902133,23.31164904903087
406.7870957014842,-87.96401966409812,0.2652491349200722,-88.71280875301198,6.909115793247935
410.2054746569588,-89.02404034056035,165.6214882615209,-87.94857787425998,173.126969957765
413.6238536124335,-91.99856282738932,146.068040311202,-88.1401602947959,144.8702385691382
417.0422325679081,-102.0271488537575,140.0645171543795,-88.11385272748517,125.7276580848512
420.4606115233828,-102.8221705452875,98.73707339431519,-89.99202383314881,106.9342700736976
423.8789904788575,-94.76205403954133,112.460730985485,-95.10878354671981,35.97296868640363
427.2973694343321,-93.27125815335968,118.4207266957633,-87.59299980119638,143.5872533721525
430.7157483898068,-95.80285100172175,129.6558782484121,-83.53322197860646,127.3491292288196
434.1341273452814,-100.6958517551025,4.798457425269232,-82.01858457976161,122.6664663091865
437.5525063007561,-95.50522412013538,73.2015598354934,-83.93556819596125,116.7637276452898
440.9708852562308,-93.90282433871279,87.3560418463715,-90.71961428618869,88.39699714752443
444.3892642117054,-96.29702767961938,87.22711778536963,-94.41273168537798,21.96480830127143
447.8076431671801,-97.83062297193143,61.26452894183029,-96.02898339070646,3.004874638003266
451.2260221226547,-97.0823642302496,29.50748178348335,-101.0931823062457,66.58260387313842
454.6444010781294,-99.01615709378417,7.079406108688977,-92.10167799739345,113.6194143002442
458.062780033604,-102.744603222699,0.5897377278674628,-89.2597443418032,120.7215218085771
461.4811589890787,-103.4234972086399,7.50336471252902,-93.70800160876544,137.9144618302124
464.8995379445533,-97.76230828767238,164.6836604799477,-97.65327209477636,82.45866142268136
468.317916900028,-92.6976136417945,148.8124427356675,-91.2669571336549,107.4144699747012
471.7362958555026,-90.22069612914849,131.6595502365792,-92.89154165939539,118.0228631057772
475.1546748109773,-89.75470626542099,115.4541244643018,-102.2748239625176,123.0756633695785
478.5730537664519,-90.90995323091235,93.24992163136668,-99.14149275596844,162.8383915361225
481.9914327219266,-92.54832057189816,75.35387818305439,-99.88595793544563,14.43517373546418
485.4098116774013,-97.19161281672797,94.89226477395704,-92.74326901351309,97.31262861038302
488.8281906328759,-94.12587843276276,142.1443250153359,-86.59566540206922,108.2074133520278
492.2465695883506,-89.03506549835775,142.3706664778217,-84.38125999625717,122.7864084380405
495.6649485438252,-87.82824975514666,134.7304716710576,-84.43404545159152,138.1888639577657
