Time (s),Channel 1 (V),Channel 2 (V)
-0.001032539405940594,-0.02404096679798798,-2.069984288597862
-0.001032209405940594,-0.02337014834090374,-2.084733610113034
-0.001031879405940594,-0.02202851142673436,-2.09210827087063
-0.001031549405940594,-0.021022283741108,-2.10317026200701
-0.001031219405940594,-0.02068687451256528,-2.106857592385809
-0.001030889405940594,-0.02035146528402316,-2.114232253143395
-0.001030559405940594,-0.01934523759839619,-2.125294244279784
-0.001030229405940594,-0.0183390099127703,-2.132668905037367
-0.001029899405940594,-0.01800360068422712,-2.147418226552552
-0.001029569405940594,-0.01666196377005926,-2.151105556931344
-0.001029239405940594,-0.0159911453129735,-2.165854878446526
-0.001028909405940594,-0.0149849176273476,-2.173229539204109
-0.001028579405940594,-0.01397868994171988,-2.1842915303405
-0.001028249405940594,-0.01297246225609398,-2.195353521476874
-0.001027919405940594,-0.01230164379900853,-2.199040851855679
-0.001027589405940594,-0.01196623457046656,-2.202728182234471
-0.001027259405940594,-0.0109600068848399,-2.21010284299206
-0.001026929405940594,-0.009953779199213551,-2.221164834128438
-0.001026599405940594,-0.0092829607421284,-2.228539494886034
-0.001026269405940594,-0.008612142285043251,-2.235914155643631
-0.001025939405940594,-0.007941323827959321,-2.243288816401213
-0.001025609405940594,-0.006935096142331901,-2.254350807537601
-0.001025279405940594,-0.006264277685247971,-2.254350807537601
-0.001024949405940594,-0.005258049999620856,-2.265412798673986
-0.001024619405940594,-0.00458723154253662,-2.272787459431572
-0.001024289405940594,-0.003916413085451776,-2.283849450567959
-0.001023959405940594,-0.002910185399825423,-2.291224111325545
-0.001023629405940594,-0.002574776171282695,-2.298598772083138
-0.001023299405940594,-0.001568548485656343,-2.305973432840724
-0.001022969405940594,-0.0008977300285713454,-2.309660763219523
-0.001022639405940594,0.0001084976570550071,-2.313348093598316
-0.001022309405940594,0.001114725342682275,-2.320722754355907
-0.001021979405940594,0.002120953028308627,-2.3244100847347
-0.001021649405940594,0.003127180713935895,-2.335472075871087
-0.001021319405940594,0.00346258994247786,-2.342846736628669
-0.001020989405940594,0.004804226856647244,-2.35390872776506
-0.001020659405940594,0.005139636085189209,-2.357596058143852
-0.001020329405940594,0.005475045313731785,-2.364970718901445
-0.001019999405940594,0.00648127299935768,-2.372345379659027
-0.001019669405940594,0.007487500684985405,-2.376032710037829
-0.001019339405940594,0.008493728370611301,-2.383407370795412
-0.001019009405940594,0.009164546827696756,-2.387094701174213
-0.001018679405940594,0.01017077451332265,-2.387094701174213
-0.001018349405940594,0.01117700219894992,-2.394469361931799
